+-------+------------------------------------------+--------+---------+
| Index | Info                                     | Parent | Sibling |
+-------+------------------------------------------+--------+---------+
| 0     | program                                  | -1     | -1      |
| 1     | statement_list                           | 0      | -1      |
| 2     | statement                                | 1      | -1      |
| 3     | function_declaration_statement           | 2      | -1      |
| 4     | mareFunctie                              | 3      | -1      |
| 5     | function_name                            | 3      | 4       |
| 6     | (                                        | 3      | 5       |
| 7     | )                                        | 3      | 6       |
| 8     | :                                        | 3      | 7       |
| 9     | statement_list                           | 3      | 8       |
| 10    | atatSAPutut                              | 3      | 9       |
| 11    | bunaDimineataDragiBarladeni              | 5      | -1      |
| 12    | statement                                | 9      | -1      |
| 13    | statement_list                           | 9      | 12      |
| 14    | declare_variable_statement               | 12     | -1      |
| 15    | incaOVariabilaMaiTaieDinEle              | 13     | -1      |
| 16    | identifier                               | 13     | 15      |
| 17    | :                                        | 13     | 16      |
| 18    | type                                     | 13     | 17      |
| 19    | beginning_of_identifier                  | 14     | -1      |
| 20    | letter                                   | 16     | -1      |
| 21    | a                                        | 18     | -1      |
| 22    | aziMaSimtIntreg                          | 19     | -1      |
| 23    | statement                                | 20     | -1      |
| 24    | statement_list                           | 20     | 23      |
| 25    | declare_variable_statement               | 23     | -1      |
| 26    | incaOVariabilaMaiTaieDinEle              | 24     | -1      |
| 27    | identifier                               | 24     | 26      |
| 28    | :                                        | 24     | 27      |
| 29    | type                                     | 24     | 28      |
| 30    | beginning_of_identifier                  | 25     | -1      |
| 31    | letter                                   | 27     | -1      |
| 32    | b                                        | 29     | -1      |
| 33    | aziMaSimtIntreg                          | 30     | -1      |
| 34    | statement                                | 31     | -1      |
| 35    | statement_list                           | 31     | 34      |
| 36    | declare_variable_statement               | 34     | -1      |
| 37    | incaOVariabilaMaiTaieDinEle              | 35     | -1      |
| 38    | identifier                               | 35     | 37      |
| 39    | :                                        | 35     | 38      |
| 40    | type                                     | 35     | 39      |
| 41    | beginning_of_identifier                  | 36     | -1      |
| 42    | letter                                   | 38     | -1      |
| 43    | c                                        | 40     | -1      |
| 44    | aziMaSimtIntreg                          | 41     | -1      |
| 45    | statement                                | 42     | -1      |
| 46    | statement_list                           | 42     | 45      |
| 47    | function_call_statement                  | 45     | -1      |
| 48    | function_name                            | 46     | -1      |
| 49    | (                                        | 46     | 48      |
| 50    | identifier                               | 46     | 49      |
| 51    | )                                        | 46     | 50      |
| 52    | readDirectFromTheMysticalLandOfBarladia  | 47     | -1      |
| 53    | beginning_of_identifier                  | 48     | -1      |
| 54    | letter                                   | 50     | -1      |
| 55    | a                                        | 53     | -1      |
| 56    | statement                                | 54     | -1      |
| 57    | statement_list                           | 54     | 56      |
| 58    | function_call_statement                  | 56     | -1      |
| 59    | function_name                            | 57     | -1      |
| 60    | (                                        | 57     | 59      |
| 61    | identifier                               | 57     | 60      |
| 62    | )                                        | 57     | 61      |
| 63    | readDirectFromTheMysticalLandOfBarladia  | 58     | -1      |
| 64    | beginning_of_identifier                  | 59     | -1      |
| 65    | letter                                   | 61     | -1      |
| 66    | b                                        | 64     | -1      |
| 67    | statement                                | 65     | -1      |
| 68    | statement_list                           | 65     | 67      |
| 69    | function_call_statement                  | 67     | -1      |
| 70    | function_name                            | 68     | -1      |
| 71    | (                                        | 68     | 70      |
| 72    | identifier                               | 68     | 71      |
| 73    | )                                        | 68     | 72      |
| 74    | readDirectFromTheMysticalLandOfBarladia  | 69     | -1      |
| 75    | beginning_of_identifier                  | 70     | -1      |
| 76    | letter                                   | 72     | -1      |
| 77    | c                                        | 75     | -1      |
| 78    | statement                                | 76     | -1      |
| 79    | statement_list                           | 76     | 78      |
| 80    | declare_variable_statement               | 78     | -1      |
| 81    | incaOVariabilaMaiTaieDinEle              | 79     | -1      |
| 82    | identifier                               | 79     | 81      |
| 83    | :                                        | 79     | 82      |
| 84    | type                                     | 79     | 83      |
| 85    | beginning_of_identifier                  | 80     | -1      |
| 86    | letter                                   | 82     | -1      |
| 87    | s                                        | 84     | -1      |
| 88    | aziMaSimtIntreg                          | 85     | -1      |
| 89    | statement                                | 86     | -1      |
| 90    | statement_list                           | 86     | 89      |
| 91    | assign_statement                         | 89     | -1      |
| 92    | identifier                               | 90     | -1      |
| 93    | =                                        | 90     | 92      |
| 94    | expression                               | 90     | 93      |
| 95    | beginning_of_identifier                  | 91     | -1      |
| 96    | letter                                   | 92     | -1      |
| 97    | s                                        | 94     | -1      |
| 98    | number_expression                        | 95     | -1      |
| 99    | identifier                               | 96     | -1      |
| 100   | arith_op                                 | 96     | 99      |
| 101   | identifier                               | 96     | 100     |
| 102   | beginning_of_identifier                  | 98     | -1      |
| 103   | letter                                   | 99     | -1      |
| 104   | a                                        | 100    | -1      |
| 105   | +                                        | 101    | -1      |
| 106   | beginning_of_identifier                  | 102    | -1      |
| 107   | letter                                   | 103    | -1      |
| 108   | b                                        | 106    | -1      |
| 109   | statement                                | 107    | -1      |
| 110   | if_statement                             | 109    | -1      |
| 111   | dacaSuntVaiMortiiMei                     | 110    | -1      |
| 112   | (                                        | 110    | 111     |
| 113   | condition                                | 110    | 112     |
| 114   | )                                        | 110    | 113     |
| 115   | :                                        | 110    | 114     |
| 116   | statement_list                           | 110    | 115     |
| 117   | sorryIJustWorkHere                       | 110    | 116     |
| 118   | :                                        | 110    | 117     |
| 119   | statement_list                           | 110    | 118     |
| 120   | atatSAPutut                              | 110    | 119     |
| 121   | identifier                               | 113    | -1      |
| 122   | relational_operator                      | 113    | 121     |
| 123   | identifier                               | 113    | 122     |
| 124   | beginning_of_identifier                  | 116    | -1      |
| 125   | letter                                   | 119    | -1      |
| 126   | c                                        | 121    | -1      |
| 127   | >                                        | 122    | -1      |
| 128   | beginning_of_identifier                  | 123    | -1      |
| 129   | letter                                   | 124    | -1      |
| 130   | s                                        | 125    | -1      |
| 131   | statement                                | 128    | -1      |
| 132   | function_call_statement                  | 129    | -1      |
| 133   | function_name                            | 131    | -1      |
| 134   | (                                        | 131    | 133     |
| 135   | identifier                               | 131    | 134     |
| 136   | )                                        | 131    | 135     |
| 137   | printOffendingCommand                    | 132    | -1      |
| 138   | beginning_of_identifier                  | 133    | -1      |
| 139   | letter                                   | 135    | -1      |
| 140   | c                                        | 138    | -1      |
| 141   | statement                                | 139    | -1      |
| 142   | function_call_statement                  | 141    | -1      |
